contentful_id,ext_id,name,type,address,lat,lon,status,atm_cash_in,work_on_weekend,full_day,working_time,weekdays,saturdays,phone,atm_branch_image
4uUmny3DKkLcWbp6DCZWIW,2624,ATM CNV SABAIL BRANCH 2 WR,ATM,"Bakı, Səbail rayonu, L.Tolstoy 191 (ABB-nin Səbail filialı)",40.374027,49.842046,,True,True,,,,,,
4u6uxJYJ3XHhmF2Bwh2hlF,491,ATM RIM GEN TOVUZ GRAND MART,ATM,Tovuz rayonu Aşağı Öysüzlü kəndi Grand Market,40.986795,45.60434,,False,True,,,,,,
4P2B5fsqjSomAyJs3Vkpl,2550,ATM RIM GUB SIYEZEN BRANCH-2,ATM,Siyəzən ş Babək küçəs(ABB Siyəzən şöbəsi),41.075936,49.113667,,True,True,,,,,,
1dZu4u0F2mRVRHUSVnLZ7C,2635,ATM SHAMAKHI BRANCH WR,ATM,"Şamaxı, H.Əliyev 51 (ABB Şamaxı filialı)",40.632682,48.633041,,True,True,,,,,,
1DEtSgT2nPwT7QdzEwsdOV,890,ATM RIM YEV BEYLAGAN MANDARIN M.,ATM,"Beyləqan, Daşburun qəsəbəsi Mandarin market",39.630939,47.707214,,False,,,,,,,
1AQUmaBNJSQBU3UlekuwxX,168,ATM RIM YEV BEYLAGAN OSCAR YDM,ATM,"Bakı-Horadiz yolu, Daşburun dairəsi Oscar YDM",39.642694,47.690111,,False,,,,,,,
R2dciCscdtog3eG1wTYS7,925,ATM RIM YEV BEYLAQAN OBA,ATM,"Beyləqan şəhəri, S. İmrəliyev küç. (Oba market)",39.772857666015625,47.62112045288086,,False,,,,,,,
3UbkSQpRF4xxlzcmFCOedi,2248,ATM CNV NARIMANOV TAM STORE,ATM,"Bakı, Nərimanov rayonu, Həsənoğlu k. (Tam store)",40.39725330793839,49.86978217722192,,True,True,,,,,,
3wAn76W491FRHv8YUYCU5b,2501,ATM USD CNV LANDMARK ABB BRANCH GRG,ATM,"Bakı, Nəsimi rayonu, Nizami küçəsi, 96, (Landmark ABB BR)",40.375726,49.85086,,True,True,,,,,,
2H6MoAeWq1PxQoBSow4Poq,2290,ATM RIM XIR MEHDIABAD BIN GENCLER,ATM,"Abşeron rayonu, Mehdibad qəsəbəsi (Binəqədi Gənclər şəhərciyi 2)",40.486394224806986,49.838796949004184,,True,True,True,,,,,
7jVwo1ub0W5f823PpcjRKO,2391,ATM OBA MARKET I.ZULFUQAROV,ATM,"Bakı, Xətai rayonu, İ.Zülfüqarov küçəsi, 2942 A",40.369442966270874,49.95565743010633,,True,True,True,,,,,
5jjY5Kt4SB0sUWn2Bb3PoS,2375,ATM RIM GUB SHABRAN GAYALI M,ATM,"Şabran şəhəri, H.Əliyev pr. (Qayalı market)",41.20963869417298,48.9966102775522,,True,,,,,,,
